week_start_date,product_url,sku5,views,product_id
2025-01-06,/form-a-drain-ln128-lineal-concrete-foundation-drain-12-ft-l-8-in-w-pvc/,50503,48,11821
2025-01-06,/oriented-strand-board-osb-7-16-in-x-4-ft-x-8-ft-species-varies/,26047,18,12511
2025-01-06,/comfort-glow-qwh1800-infrared-quartz-electric-space-heater-15-a-120-v-1500-w-5120-btu-heating-3-heating-stage/,79142,12,15092
2025-01-06,/owens-corning-supreme-ar-series-pm12-3-tab-shingle-36-in-l-12-in-w-shasta-white/,46163,11,3673
2025-01-06,/rhomar-water-rhogard-rhogard-5gal-multi-metal-antifreeze-5-gal-blue-clear/,59440,11,11052
2025-01-06,/andersen-10-series-23870-storm-door-with-grill-white/,73630,10,5545
2025-01-06,/georgia-pacific-compass-138387-double-traditional-lap-siding-bayou-blue-woodgrain/,69024,9,8188
2025-01-06,/richmond-essential-series-6g40-36f3-gas-water-heater-natural-gas-40-gal-tank-52-gph-36000-btu-hr-btu-dark-warm-gray/,68411,9,14362
2025-01-06,/holmes-garage-door-company-silver-5500-16x7-garage-door-16-ft-w-door-7-ft-h-door-polystyrene-steel-door/,50763,8,5729
2025-01-06,/richmond-essential-series-6g40s-34f3-gas-water-heater-natural-gas-40-gal-tank-65-gph-34000-btu-hr-btu/,68347,8,2936
2025-01-06,/form-a-drain-out48-concrete-foundation-drain-pvc/,50507,7,6356
2025-01-06,/holmes-garage-door-company-bronze-4200-9x7-garage-door-9-ft-w-door-7-ft-h-door-steel-door/,33829,7,689
2025-01-06,/mars-mg1e-mg1e-056f1aam2-gas-furnace-1-phase-8-4-a-115-v-45-000-btu-hr-btu-1-stage-direct-venting/,75730,7,9329
2025-01-06,/richmond-essential-series-6g40s-31pf3-gas-water-heater-liquid-propane-40-gal-tank-65-gph-31000-btu-hr-btu/,68439,7,13073
2025-01-06,/richmond-essential-series-6gr40pve2-40-gas-water-heater-natural-gas-40-gal-tank-86-gph-40000-btu-hr-btu/,51272,7,9836
2025-01-06,/sterling-water-treatment-nescc-series-nescc-1-s-softener-meter-30-000-grain-resin-tank-12-in-w-45-in-h-24-in-d/,68749,7,5221
